,ChName,Dynasty,DynastyBirth,DynastyDeath,EngName,Entry,EraBirth,EraDeath,EraYearBirth,EraYearDeath,Gender,IndexYear,JunWang,Notes,PersonId,SocialStatus,YearBirth,YearDeath,YearsLived,nid
19914,王可道,元,未詳,未詳,Wang Kedao,特旨門,未詳,未詳,,,1,1343,【未詳】,"Wang(2) Kedao [28654] CHECK funerary inscription. WDY, 3, p. 1818.",28654,[妻];[母],1284,1357,74,28654
19915,酈愚,元,未詳,未詳,Zhi Yu,,未詳,未詳,,,0,,【未詳】,,113501,,,,,113501
19916,鎖南,元,未詳,未詳,Suonan,,未詳,未詳,,,0,,【未詳】,,116703,,,,,116703
19917,常兀邇篤,元,未詳,未詳,Chang Wuerdu,,未詳,未詳,,,0,,【未詳】,,117811,,,,,117811
19918,朱清,元,未詳,未詳,Zhu Qing,徵召門,未詳,未詳,,,0,1296,【未詳】,"Zhu(1) Qing [33448] The Chinese admiral who assisted Bayan in pacifying the Southern Song and who was involved in the invasions of Japan. Kunshan JZ (1367), 5.1a-2a. Zhu Gui, Mingji lu, 3.8b-10b. WDY, 1, pp. 304-308.",33448,[武官],1237,1303,67,33448
19919,吳斐,元,未詳,未詳,Wu Fei,,未詳,未詳,,,0,1326,【未詳】,,102310,,1301,1326,26,102310
19920,陳良臣,元,未詳,未詳,Chen Liangchen,,未詳,未詳,,,0,,【未詳】,,108208,,,,,108208
19921,禾顏帖穆兒,元,未詳,未詳,Heyantiemuer,,未詳,未詳,,,0,,【未詳】,,116216,,,,,116216
19922,周潤,元,未詳,未詳,Zhou Run,,未詳,未詳,,,0,,【未詳】,,103917,經學家—易經;經學家—春秋,,,,103917
19923,王氏(楊伯遠妻),元,未詳,未詳,Wang Shi(Wife of Yang Bo Yuan ),,未詳,未詳,,,1,,【未詳】,,100638,,,,,100638
19924,夾谷山壽,元,未詳,未詳,Jiagu Shanshou,,未詳,未詳,,,0,,【未詳】,,102605,,,,,102605
19925,曹敏中,元,未詳,未詳,Cao Minzhong,正常科舉,未詳,未詳,,,0,1324,【未詳】,延祐二年進士,107407,,1265,1334,70,107407
19926,蘇天民,元,未詳,未詳,Su Tianmin,,未詳,未詳,,,0,,【未詳】,,113014,,,,,113014
19927,劉德,元,未詳,未詳,Liu De,,未詳,未詳,,,0,,【未詳】,,111029,,,,,111029
19928,汪會,元,未詳,未詳,Wang Hui,,未詳,未詳,,,0,1339,【未詳】,"Wang(1) Hui [34362] CHECK record of conduct. WDY, 1, p. 581.",34362,處士,1280,1348,69,34362
19929,習剌,元,未詳,未詳,Xila,,未詳,未詳,,,0,,【未詳】,,116646,,,,,116646
19930,劉世傑,元,未詳,未詳,Liu Shijie,,未詳,未詳,,,0,,【未詳】,,111183,,,,,111183
19931,方氏(邵元廷妻),元,未詳,未詳,Fang Shi(Wife of Shao Yuan Ting),,未詳,未詳,,,1,1315,【未詳】,,386427,,,,,386427
19932,哈迷丁,元,未詳,未詳,Hamiding,,未詳,未詳,,,0,,【未詳】,,115969,,,,,115969
19933,湯京,元,未詳,未詳,Tang Jing,,未詳,未詳,,,0,1348,【未詳】,,108658,,1299,1348,50,108658
19934,丁希賢,元,未詳,未詳,Ding Xixian,,未詳,未詳,,,0,,【未詳】,,100268,,,,,100268
19935,徐宇泰,元,未詳,未詳,Xu Yutai,,未詳,未詳,,,0,,【未詳】,,105590,,,,,105590
19936,吳永,元,未詳,未詳,Wu Yong,,未詳,未詳,,,0,,【未詳】,,102255,,,,,102255
19937,鹿廣,元,未詳,未詳,Lu Guang,,未詳,未詳,,,0,,【未詳】,,435580,,,,,435580
19938,余宗文,元,未詳,未詳,Yu Zongwen,,未詳,未詳,,,0,,【未詳】,,389228,,,,,389228
19939,安顯,元,未詳,未詳,An Xian,,未詳,未詳,,,0,,【未詳】,,101880,,,,,101880
19940,王庸,元,未詳,未詳,Wang Yong,,未詳,未詳,,,0,,【未詳】,,100792,,,,,100792
19941,張良材,元,未詳,未詳,Zhang Liangcai,,未詳,未詳,,,0,,【未詳】,,107057,義軍首領,,,,107057
19942,虞汲,元,未詳,未詳,Yu Ji,,未詳,未詳,,,0,1318,會稽,"Yu(4) Ji [10797] WDY, 3, 1614.",10797,[學官],,1318,,10797
19943,程鵬飛,元,未詳,未詳,Cheng Pengfei,,未詳,未詳,,,0,,【未詳】,亦據元人傳記資料索引電子版9385,49202,,,,,49202
19944,董守慤,元,未詳,未詳,Dong Shouque,,未詳,未詳,,,0,,【未詳】,,421469,,,,,421469
